form_id, team_number, match_number, pressure, ground_pickup, tele_high, tele_low, gears_acquired, gears_scored, pref_lift, hang, hang_duration, hang_davit
1,5821,1,0,false,0,0,0,1,"123",false,0.0,0
2,5719,1,0,true,0,0,7,0,"123",false,0.0,0
3,1246,1,0,true,0,0,2,0,"123",true,10.695,3
4,4252,1,0,false,0,0,0,1,"123",false,6.0999999,0
5,5141,1,0,true,0,0,1,1,"123",false,0.0,0
6,1325,1,0,false,0,0,5,4,"3",false,0.0,0
7,2935,2,0,false,0,0,0,1,"3",false,0.0,0
8,2706,2,0,false,0,0,3,0,"123",true,7.9450002,0
9,6052,2,0,false,0,0,2,2,"3",false,0.0,0
10,919,2,0,false,0,0,0,0,"123",false,0.0,0
11,6632,2,0,false,0,0,1,0,"123",false,0.0,0
12,5076,2,0,false,0,0,2,1,"123",false,0.226,0
13,1114,3,34,true,30,0,1,0,"123",true,1.2589999,1
14,6130,3,0,false,0,0,1,0,"123",false,5.4320002,0
15,4519,3,0,false,0,0,1,2,"123",false,37.477001,0
16,188,3,0,true,0,0,5,5,"3",true,6.7290001,2
17,746,3,0,true,0,0,0,0,"123",false,0.0,0
18,5036,3,0,true,0,0,4,4,"123",true,13.678,1
19,6397,4,0,false,0,0,2,2,"123",false,0.0,0
20,854,4,0,false,0,0,4,2,"3",true,3.585,2
21,6378,4,0,false,0,0,2,3,"3",false,0.0,0
22,5834,4,0,false,0,0,0,1,"123",true,7.552,2
23,2609,4,0,true,0,0,6,4,"3",false,10.218,0
24,1547,4,0,false,0,0,1,1,"123",true,0.4749999,1
25,5024,5,0,false,0,0,5,4,"123",true,3.1719999,1
26,6140,5,0,false,0,0,1,0,"123",false,0.0,0
27,4001,5,0,false,0,0,1,1,"123",true,2.539,3
28,5039,5,0,false,0,0,2,2,"3",false,0.0,0
29,6009,5,0,false,0,0,3,2,"3",true,5.8870001,2
30,2708,5,0,true,0,0,5,3,"123",false,4.9910002,0
31,1241,6,0,false,0,0,3,3,"123",false,0.0,0
32,6046,6,0,false,0,0,0,0,"123",false,0.0,0
33,5921,6,0,false,0,0,1,1,"3",false,0.0,0
34,1310,6,1,true,3,0,2,2,"3",false,0.0,0
35,907,6,0,false,0,0,2,1,"123",true,3.2539999,3
36,5911,6,0,true,0,0,0,0,"123",false,0.0,0
37,610,7,0,false,0,0,4,4,"123",true,2.339,1
38,2706,7,0,false,0,0,2,2,"3",false,0.0,0
39,1246,7,0,false,0,0,1,2,"3",false,1.248,0
40,4252,7,0,false,0,0,0,1,"3",false,0.0,0
41,3560,7,0,false,0,0,2,2,"3",false,0.0,0
42,5596,7,0,false,0,0,3,3,"123",false,8.7700005,0
43,746,8,0,false,0,0,2,1,"123",false,0.0,0
44,6141,8,1,false,3,0,0,0,"123",false,0.0,0
45,5024,8,0,false,0,0,2,2,"3",true,0.448,3
46,5821,8,0,false,0,0,1,1,"3",false,0.0,0
47,854,8,0,false,0,0,3,2,"123",true,4.7350001,2
48,4001,8,0,true,0,0,1,1,"123",true,0.7829999,1
49,1241,9,2,false,6,0,3,4,"123",true,0.4359999,1
50,4519,9,0,false,0,0,2,1,"123",false,0.0,0
51,2708,9,0,false,0,0,0,1,"3",true,0.7799999,3
52,6397,9,0,false,0,0,2,2,"3",false,0.0,0
53,6046,9,0,false,0,0,1,0,"123",true,19.962999,2
54,5076,9,0,false,0,0,2,2,"3",false,7.7470002,0
55,5719,10,0,false,0,0,1,0,"123",false,0.0,0
56,1114,10,20,false,30,0,2,1,"3",false,4.7379999,0
57,1325,10,0,false,0,0,4,2,"3",true,0.73,3
58,6009,10,0,true,0,0,0,1,"3",true,7.3800001,3
59,2609,10,0,true,0,0,3,2,"3",true,4.9060001,2
60,1310,10,4,true,0,0,2,2,"123",true,13.641,1
61,610,11,1,false,0,0,6,5,"123",true,0.842,1
62,2935,11,0,false,0,0,0,1,"123",false,0.0,0
63,907,11,0,false,0,0,1,2,"3",false,0.0,0
64,5834,11,0,false,0,0,3,1,"3",true,19.948,3
65,5036,11,0,false,0,0,4,3,"123",true,4.027,2
