"form_id","team_number","match_number","starting_pos","mobility","auto_ball_pickup","auto_high","auto_low","auto_gear_pickup","auto_pref_lift","auto_gear"
1,4917,1,"load",True,False,0,False,0,"port1",1
2,6378,1,"middle",True,False,0,False,0,"port2",1
3,6110,1,"boiler",True,False,0,False,0,"0",0
4,6336,1,"middle",True,False,0,False,0,"port2",1
5,4946,1,"boiler",True,False,3,False,0,"0",0
6,5885,1,"load",True,False,0,False,0,"0",0
7,4525,2,"load",True,False,0,False,0,"port1",1
8,4939,2,"middle",True,False,0,False,0,"port2",1
9,5406,2,"boiler",False,False,8,False,0,"0",0
10,1114,2,"boiler",True,False,6,False,0,"0",0
11,5596,2,"load",True,False,0,False,0,"0",0
12,610,2,"middle",True,False,1,False,0,"port2",1
13,1360,3,"boiler",True,False,0,False,0,"0",0
14,6564,3,"middle",True,False,0,False,0,"0",0
15,4907,3,"load",True,False,0,False,0,"0",0
16,6331,3,"load",True,False,0,False,0,"0",0
17,772,3,"boiler",True,True,0,False,0,"port3",1
18,6342,3,"middle",True,False,0,False,0,"port2",0
19,6461,4,"load",True,False,0,False,0,"port1",1
20,865,4,"boiler",True,False,0,False,0,"0",0
21,5428,4,"middle",True,False,0,False,0,"port2",1
22,2609,4,"middle",True,False,0,False,0,"port2",1
23,2935,4,"load",True,False,0,False,0,"port1",1
24,6481,4,"boiler",True,False,0,False,0,"port2",0
25,5036,5,"middle",True,False,0,False,0,"port2",1
26,1305,5,"boiler",True,True,8,False,0,"0",0
27,1285,5,"load",True,False,0,False,0,"port2",1
28,4343,5,"middle",True,False,1,False,0,"0",0
29,5719,5,"boiler",True,False,0,False,0,"port3",0
30,5024,5,"load",True,False,0,False,0,"port1",1
31,6725,6,"load",True,False,0,False,0,"0",0
32,4976,6,"boiler",True,True,5,False,0,"0",0
33,4814,6,"middle",True,False,0,False,0,"0",0
34,6347,6,"boiler",True,False,0,False,0,"0",0
35,6513,6,"load",True,False,0,False,0,"0",0
36,4920,6,"middle",True,False,0,False,0,"0",0
37,854,7,"middle",True,False,0,False,0,"port2",1
38,1075,7,"boiler",True,False,7,False,0,"0",0
39,4476,7,"load",True,False,0,False,0,"port1",1
40,6009,7,"load",True,False,0,False,0,"port1",1
41,6323,7,"middle",False,False,0,False,0,"0",0
42,6387,7,"boiler",True,False,0,False,0,"0",0
43,4152,8,"middle",True,False,0,False,0,"port2",1
44,1241,8,"boiler",True,False,1,False,0,"port3",1
45,2200,8,"load",True,False,0,False,0,"port1",1
46,5076,8,"middle",True,False,0,False,0,"0",0
47,781,8,"boiler",True,False,0,False,0,"0",0
48,3683,8,"load",True,False,0,False,0,"port1",1
49,2706,9,"boiler",True,False,0,False,0,"0",0
50,4039,9,"load",True,False,0,False,0,"0",0
51,5426,9,"middle",True,False,0,False,0,"port2",1
52,1325,9,"middle",False,False,0,False,0,"0",0
53,2056,9,"boiler",True,True,31,False,0,"0",0
54,6070,9,"load",True,False,0,False,0,"0",0
55,4678,10,"middle",False,False,0,False,0,"port2",1
56,5032,10,"middle",True,False,0,False,0,"0",0
57,2386,10,"load",True,False,0,False,0,"0",0
58,6544,10,"boiler",True,False,0,False,0,"0",0
59,4001,10,"load",True,False,0,False,0,"port1",1
60,188,10,"middle",True,False,3,False,0,"port2",1
61,772,11,"load",True,False,1,False,0,"0",0
62,4976,11,"boiler",True,True,5,False,0,"0",0
63,5428,11,"middle",True,False,2,False,1,"port1",1
64,610,11,"boiler",True,False,0,False,0,"port3",1
65,6378,11,"middle",True,False,0,False,0,"0",0
66,1285,11,"load",True,False,0,False,0,"port1",1
67,4907,12,"load",True,False,0,False,0,"port1",1
68,5719,12,"middle",True,False,0,False,0,"0",0
69,865,12,"boiler",True,False,0,False,0,"0",0
70,6347,12,"boiler",True,False,0,False,0,"0",0
71,854,12,"load",True,False,0,False,0,"0",0
72,6110,12,"middle",True,False,0,False,0,"port2",1
73,6725,13,"middle",False,False,0,False,0,"0",0
74,5024,13,"load",True,False,0,False,0,"0",0
75,2200,13,"boiler",True,False,1,False,0,"port3",1
76,2935,13,"boiler",True,False,0,False,0,"port3",1
77,6461,13,"middle",True,False,0,False,0,"0",0
78,4917,13,"load",True,False,0,False,0,"0",0
79,2609,14,"boiler",False,False,0,False,0,"port3",1
80,5596,14,"middle",True,False,0,False,0,"0",0
81,781,14,"load",True,False,0,False,0,"port3",1
82,6323,14,"false",True,False,0,False,0,"0",0
83,5426,14,"middle",True,False,0,False,0,"port2",1
84,4920,14,"boiler",True,False,0,False,0,"0",0
85,2056,15,"boiler",False,False,23,False,0,"0",0
86,5036,15,"middle",True,False,0,False,0,"0",0
87,4001,15,"load",True,False,0,False,0,"0",0
88,1114,15,"boiler",True,True,13,False,0,"0",0
89,6513,15,"load",True,False,0,False,0,"0",0
90,1360,15,"middle",True,False,0,False,0,"0",0
91,5076,16,"boiler",False,False,1,False,0,"0",0
92,6342,16,"load",True,False,0,False,0,"port1",1
93,1325,16,"middle",True,False,0,False,0,"0",0
94,2386,16,"middle",True,False,0,False,0,"0",0
95,4476,16,"load",True,False,0,False,0,"port1",1
96,1305,16,"boiler",True,True,0,False,0,"0",0
97,5406,17,"boiler",False,False,20,False,0,"0",0
98,6481,17,"load",True,False,0,False,0,"0",0
99,6336,17,"middle",True,False,0,False,0,"0",0
100,5032,17,"load",True,False,0,False,0,"port1",1
101,6544,17,"boiler",True,False,0,False,0,"0",0
102,4939,17,"middle",True,False,0,False,0,"port2",1
103,5885,18,"load",True,False,0,False,0,"0",0
104,4678,18,"boiler",True,False,0,False,0,"0",0
105,4152,18,"middle",True,False,0,False,0,"port2",1
106,6387,18,"middle",True,False,0,False,0,"port2",1
107,1241,18,"boiler",True,False,3,False,0,"0",0
108,6070,18,"load",True,False,0,False,0,"0",0
109,3683,19,"load",True,False,0,False,0,"port1",1
110,2706,19,"middle",True,False,0,False,0,"port2",1
111,6331,19,"boiler",True,False,0,False,0,"port3",1
112,1075,19,"false",False,False,0,False,0,"0",0
113,4343,19,"middle",True,False,1,False,0,"port2",1
114,4525,19,"load",True,False,0,False,0,"port1",1
115,4039,20,"boiler",True,False,1,False,0,"port3",1
116,4946,20,"middle",True,False,3,False,0,"port2",1
117,6009,20,"load",True,False,0,False,0,"0",0
118,6564,20,"boiler",True,False,0,False,0,"port3",1
119,4814,20,"load",True,False,0,False,0,"0",0
120,188,20,"middle",True,False,0,False,1,"port2",1
121,6347,21,"load",True,False,0,False,0,"0",0
122,1325,21,"middle",True,False,0,False,0,"port2",1
123,6378,21,"boiler",True,False,0,False,0,"port3",1
124,5596,21,"load",True,False,0,False,0,"0",0
125,1360,21,"boiler",True,False,0,False,0,"port3",1
126,4920,21,"middle",True,False,0,False,0,"port2",1
127,854,22,"middle",True,False,0,False,0,"port2",1
128,6544,22,"load",True,False,0,False,0,"port1",1
129,6323,22,"boiler",True,False,0,False,0,"0",0
130,6342,22,"load",True,False,1,False,0,"port1",1
131,5406,22,"boiler",True,True,18,False,0,"0",0
133,865,23,"middle",False,False,0,False,0,"0",0
134,6481,23,"load",False,False,0,False,0,"port1",1
135,772,23,"boiler",True,True,0,False,0,"port3",1
136,5885,23,"middle",True,False,0,False,0,"0",0
137,5076,23,"boiler",True,False,0,False,0,"port2",0
138,6070,23,"load",True,False,0,False,0,"0",0
139,1075,24,"boiler",True,False,4,False,0,"0",0
140,6725,24,"middle",True,False,0,False,0,"port2",1
141,5032,24,"load",True,False,0,False,0,"0",0
142,4476,24,"boiler",True,False,0,False,0,"port3",1
143,4525,24,"load",True,False,0,False,0,"port1",1
144,4152,24,"middle",False,False,0,False,0,"0",0
145,6336,25,"middle",True,False,0,False,0,"port2",1
146,5024,25,"load",True,False,0,False,0,"port1",1
147,6387,25,"boiler",False,False,3,False,0,"0",0
148,5428,25,"middle",True,False,0,False,0,"port2",1
149,4001,25,"load",True,False,0,False,0,"port1",1
150,610,25,"boiler",True,False,1,False,0,"port3",1
151,4343,26,"middle",True,False,0,False,0,"port2",1
152,6331,26,"load",True,False,0,False,0,"0",0
153,2386,26,"boiler",True,False,0,False,0,"0",0
