"form_id","team_number","match_number","gear_bot","shot_bot","defend_bot","comments"
1,4917,1,1,0,0,""
2,6378,1,1,0,0,""
3,6110,1,0,0,0,""
4,6336,1,2,0,2,""
5,4946,1,1,1,0,""
6,5885,1,2,0,0,""
7,4525,2,2,0,0,""
8,4939,2,2,0,1,""
9,5406,2,2,1,0,""
10,1114,2,2,2,0,""
11,5596,2,1,0,2,""
12,610,2,2,1,1,""
13,1360,3,2,0,0,""
14,6564,3,1,0,0,""
15,4907,3,2,0,0,""
16,6331,3,0,0,0,""
17,772,3,1,1,0,""
18,6342,3,1,0,2,""
19,6461,4,1,0,3,""
20,865,4,1,1,0,""
21,5428,4,2,0,0,""
22,2609,4,1,0,0,""
23,2935,4,2,0,0,""
24,6481,4,1,0,0,""
25,5036,5,2,0,0,""
26,1305,5,2,1,1,""
27,1285,5,2,0,0,""
28,4343,5,1,1,0,""
29,5719,5,1,0,0,""
30,5024,5,2,0,0,""
31,6725,6,2,0,0,""
32,4976,6,2,0,1,""
33,4814,6,0,0,0,""
34,6347,6,2,0,0,""
35,6513,6,1,0,0,""
36,4920,6,2,0,0,""
37,854,7,2,0,1,""
38,1075,7,0,1,0,""
39,4476,7,2,0,0,""
40,6009,7,2,0,0,""
41,6323,7,1,0,0,""
42,6387,7,2,0,0,""
43,4152,8,2,0,0,""
44,1241,8,2,1,2,""
45,2200,8,2,0,1,""
46,5076,8,2,0,0,""
47,781,8,1,0,0,""
48,3683,8,2,0,0,""
49,2706,9,1,0,3,""
50,4039,9,2,0,1,""
51,5426,9,2,0,0,""
52,1325,9,0,0,0,""
53,2056,9,1,2,0,""
54,6070,9,1,0,0,""
55,4678,10,2,0,0,""
56,5032,10,2,0,1,""
57,2386,10,0,0,0,""
58,6544,10,1,0,2,""
59,4001,10,1,0,0,""
60,188,10,2,0,0,""
61,772,11,0,1,2,""
62,4976,11,2,1,2,""
63,5428,11,2,0,0,""
64,610,11,2,1,2,""
65,6378,11,1,0,2,""
66,1285,11,2,0,0,""
67,4907,12,1,0,3,""
68,5719,12,2,0,1,""
69,865,12,1,1,0,""
70,6347,12,2,0,2,""
