matchNumber,teamNumber,tournament,value,cubesAcquired,cubesScored,startingPos,mobility,autoPyramid,autoGround,autoCubePickup,autoExchangeAttempt,autoExchangeScored,autoSwitchFarAttempt,autoSwitchFarScored,autoSwitchNearAttempt,autoSwitchNearScored,autoScaleFarAttempt,autoScaleFarScored,autoScaleNearAttempt,autoScaleNearScored,autoCubeAttempt,autoCubeScored,autoRobotAction,ownSwitchFarAttempt,ownSwitchFarScored,ownSwitchNearAttempt,ownSwichNearScored,scaleFarAttempt,scaleFarScored,scaleNearAttempt,scaleNearScored,oppSwitchFarAttempt,oppSwitchFarScored,oppSwitchNearAttempt,oppSwitchNearScored,teleExchangeAttempt,teleExchangeScored,teleSwitchAttempt,teleSwitchScored,teleScaleAttempt,teleScaleScored,teleOppSwitchAttempt,teleOppSwitchScored,telePickup,teleCubePickup,teleCubeAttempt,teleCubeScored,teleRobotAction,park,carried,hangAttempt,hangSuccess,noCarried,comments
6,5921,york,,3,3,,true,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,"[""switch near 31.49""]",0,0,0,,0,0,0,0,0,0,3,2,0,0,0,0,0,0,3,2,"{""1"":0,""2"":0,""3"":0,""4"":0,""humanLoadNear"":2,""humanLoadFar"":1}",3,3,2,"[""human Load Near"",""opp switch near"",""human Load Near"",""opp switch near"",""human Load Far""]",false,false,false,false,0,
6,1325,york,,9,7,,true,0,2,2,0,0,0,0,0,0,3,3,0,0,3,3,"[""scale far 4.005"",""ground pickup 6.11"",""scale far 9.716"",""ground pickup 13.128"",""scale far 15.521""]",0,0,0,,5,4,0,0,0,0,0,0,0,0,0,0,5,4,0,0,"{""1"":0,""2"":3,""3"":3,""4"":0,""humanLoadNear"":1,""humanLoadFar"":0}",7,5,4,"[""zone 2"",""scale far"",""zone 2"",""scale far"",""zone 3"",""scale far"",""zone 3"",""scale far"",""human Load Near"",""zone 3"",""zone 2""]",false,false,true,true,0,Got a cube stuck in their bot -Jeffrey
6,4519,york,,5,4,,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,0,,0,0,0,0,0,0,0,0,3,3,2,1,0,0,0,0,"{""1"":5,""2"":0,""3"":0,""4"":0,""humanLoadNear"":0,""humanLoadFar"":0}",5,5,4,"[""exchange"",""zone 1"",""zone 1"",""own switch far"",""zone 1"",""exchange"",""zone 1"",""zone 1"",""exchange""]",true,false,false,false,0,"Angel-power cube got stuck in intake, had trouble moving"
6,5406,york,,11,10,,true,1,0,1,0,0,0,0,2,2,0,0,0,0,2,2,"[""switch near 4.811"",""pyramid 7.884"",""switch near 16.83""]",0,0,3,,0,0,4,2,0,0,0,0,3,3,3,3,4,2,0,0,"{""1"":6,""2"":3,""3"":1,""4"":0,""humanLoadNear"":0,""humanLoadFar"":0}",10,10,8,"[""zone 2"",""scale near"",""zone 1"",""scale near"",""zone 2"",""own switch near"",""zone 1"",""zone 3"",""zone 2"",""own switch near"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""own switch near""]",false,true,false,false,0,buddy hang at the end. pretty quick in movement. good switch auto - Rudy
6,2056,york,,8,6,,true,0,2,2,0,0,0,0,0,0,0,0,3,3,0,3,"[""scale near 5.605"",""ground pickup 7.2"",""scale near 9.015"",""ground pickup 11.171"",""scale near 14.423""]",0,0,0,,0,0,6,3,0,0,0,0,0,0,0,0,6,3,0,0,"{""1"":0,""2"":0,""3"":2,""4"":0,""humanLoadNear"":3,""humanLoadFar"":1}",6,6,3,"[""zone 3"",""scale near"",""human Load Near"",""human Load Near"",""scale near"",""human Load Far"",""zone 3"",""scale near"",""human Load Near""]",false,false,true,true,1,"can carry another bot, consistent scale bot- Awais"
6,2609,york,,9,7,,true,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,"[""switch far 19.899""]",1,1,0,,0,0,0,0,7,5,0,0,0,0,1,1,0,0,7,5,"{""1"":0,""2"":0,""3"":0,""4"":0,""humanLoadNear"":9,""humanLoadFar"":0}",9,8,6,"[""human Load Near"",""own switch far"",""human Load Near"",""opp switch far"",""human Load Near"",""opp switch far"",""human Load Near"",""opp switch far"",""human Load Near"",""human Load Near"",""opp switch far"",""human Load Near"",""opp switch far"",""human Load Near"",""human Load Near""]",false,false,false,false,0,great switch and exchange choice. they can do better than this game-parth
7,4976,york,,7,8,,true,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,"[""scale near 6.154"",""ground pickup 14.254""]",0,0,0,,0,0,7,7,0,0,0,0,0,0,0,0,7,7,0,0,"{""1"":0,""2"":2,""3"":3,""4"":0,""humanLoadNear"":1,""humanLoadFar"":0}",6,7,7,"[""scale near"",""zone 3"",""scale near"",""zone 3"",""scale near"",""zone 3"",""scale near"",""zone 2"",""scale near"",""human Load Near"",""scale near"",""zone 2"",""scale near""]",false,false,true,true,0,
7,4902,york,,2,1,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,"{""1"":0,""2"":2,""3"":0,""4"":0,""humanLoadNear"":0,""humanLoadFar"":0}",2,1,1,"[""zone 2"",""zone 2"",""opp switch far""]",false,false,false,false,0,"Jaden - Seemed like drive train and elevator weren't working well, and movement was slow and jerky when it did move."
7,6135,york,,12,12,,true,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,"[""switch near 11.85""]",0,0,2,,0,0,0,0,0,0,0,0,9,9,2,2,0,0,0,0,"{""1"":12,""2"":0,""3"":0,""4"":0,""humanLoadNear"":0,""humanLoadFar"":0}",12,11,11,"[""zone 1"",""own switch near"",""zone 1"",""zone 1"",""own switch near"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange"",""zone 1"",""exchange""]",false,false,false,false,0,"Issues with intake, but only in the beggining -Jeffrey"
7,3571,york,,5,1,,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,"{""1"":0,""2"":5,""3"":0,""4"":0,""humanLoadNear"":0,""humanLoadFar"":0}",5,2,1,"[""zone 2"",""zone 2"",""zone 2"",""zone 2"",""zone 2"",""scale far""]",false,false,true,false,0,Angel- defended well 
