"id","robot","match","piece","pickup","score","level","success","time","phase"
152,1334,1,"hatch","preload","bot-rocket-low","1","success",20150,"tele"
153,1334,1,"hatch","bot-hp","dropped","0","dropped",40292,"tele"
154,1285,1,"hatch","preload","front-cargo","1","success",3763,"sandstorm"
169,5406,1,"hatch","preload","bot-rocket-mid","2","success",15219,"sandstorm"
170,5406,1,"hatch","bot-hp","bot-rocket-mid","2","success",12992,"tele"
171,5406,1,"hatch","bot-hp","bot-rocket-mid","2","success",4493,"tele"
172,5406,1,"cargo","bot-hp","bot-rocket-mid","2","success",11369,"tele"
173,5406,1,"hatch","bot-hp","bot-rocket-high","3","success",6418,"tele"
174,5406,1,"hatch","bot-hp","bot-rocket-high","3","success",4960,"tele"
175,5406,1,"cargo","bot-hp","bot-rocket-high","3","success",5206,"tele"
176,5406,1,"cargo","bot-hp","bot-rocket-low","1","success",1690,"tele"
177,5076,1,"cargo","preload","top-cargo","1","success",66281,"tele"
178,5076,1,"cargo","bot-hp","top-cargo","1","success",3549,"tele"
179,7456,2,"hatch","bot-hp","bot-rocket-low","1","success",24017,"tele"
180,7710,2,"hatch","preload","top-cargo","1","attempted",13559,"sandstorm"
181,7710,2,"hatch","top-hp","top-cargo","1","success",9037,"tele"
183,5911,3,"hatch","preload","dropped","0","dropped",4882,"tele"
184,7476,3,"hatch","preload","front-cargo","1","attempted",14108,"tele"
185,7476,3,"cargo","floor","bot-cargo","1","attempted",8696,"tele"
186,7476,3,"cargo","floor","bot-cargo","1","success",8735,"tele"
187,7476,3,"cargo","floor","bot-cargo","1","success",15736,"tele"
188,7476,3,"cargo","floor","dropped","0","dropped",22364,"tele"
189,7476,3,"cargo","floor","top-cargo","1","attempted",13957,"tele"
190,5039,3,"hatch","preload","dropped","0","dropped",4781,"sandstorm"
191,5039,3,"hatch","top-hp","front-cargo","1","attempted",13648,"tele"
192,5039,3,"hatch","top-hp","front-cargo","1","attempted",8610,"tele"
193,5039,3,"hatch","top-hp","front-cargo","1","attempted",10829,"tele"
194,5039,3,"hatch","top-hp","top-rocket-low","1","attempted",18889,"tele"
195,5039,3,"hatch","top-hp","top-rocket-low","1","success",12956,"tele"
196,5039,3,"hatch","top-hp","front-cargo","1","success",12964,"tele"
197,6866,3,"cargo","preload","dropped","0","dropped",22133,"tele"
198,6866,3,"cargo","floor","top-cargo","1","success",12435,"tele"
199,6866,3,"cargo","floor","top-cargo","1","success",1355,"tele"
200,6866,3,"cargo","floor","bot-cargo","1","attempted",3161,"tele"
201,6866,3,"cargo","floor","bot-cargo","1","success",2242,"tele"
202,6866,3,"cargo","floor","bot-cargo","1","success",1839,"tele"
203,6866,3,"cargo","floor","bot-cargo","1","success",1775,"tele"
204,7520,4,"cargo","preload","bot-cargo","1","attempted",29850,"tele"
205,7520,4,"cargo","bot-hp","bot-cargo","1","success",20057,"tele"
206,7136,4,"cargo","preload","top-cargo","1","success",13635,"sandstorm"
207,7136,4,"cargo","floor","top-cargo","1","success",12869,"tele"
208,7136,4,"cargo","floor","top-cargo","1","attempted",12842,"tele"
209,7136,4,"cargo","floor","dropped","0","dropped",10928,"tele"
210,7136,4,"hatch","floor","dropped","0","dropped",2514,"tele"
211,6397,4,"cargo","preload","dropped","0","dropped",21046,"tele"
212,5036,1,"hatch","preload","front-cargo","1","success",3987,"tele"
213,5036,1,"cargo","floor","bot-cargo","1","success",7415,"tele"
214,5036,1,"cargo","floor","bot-cargo","1","success",6102,"tele"
215,5036,1,"cargo","floor","bot-cargo","1","success",6412,"tele"
216,5036,1,"cargo","floor","top-cargo","1","success",6802,"tele"
217,5036,1,"cargo","floor","top-cargo","1","success",13017,"tele"
218,5036,1,"cargo","floor","dropped","0","dropped",4642,"tele"
219,5036,1,"cargo","floor","top-cargo","1","success",10406,"tele"
220,5036,1,"cargo","floor","dropped","0","dropped",4046,"tele"
221,5036,1,"hatch","bot-hp","dropped","0","dropped",3923,"tele"
222,4308,3,"cargo","preload","bot-cargo","1","success",4841,"tele"
223,6867,4,"hatch","preload","bot-cargo","1","success",6771,"sandstorm"
224,6867,4,"hatch","top-hp","bot-cargo","1","success",2247,"sandstorm"
225,6867,4,"hatch","top-hp","front-cargo","1","success",2355,"tele"
226,6867,4,"hatch","top-hp","front-cargo","1","success",3544,"tele"
235,6878,4,"hatch","preload","dropped","0","dropped",21291,"sandstorm"
236,6878,4,"cargo","top-hp","top-cargo","1","success",7542,"tele"
237,6878,4,"cargo","top-hp","top-cargo","1","success",12633,"tele"
238,6878,4,"cargo","top-hp","top-cargo","1","success",6332,"tele"
239,6878,4,"hatch","top-hp","top-rocket-low","1","success",9213,"tele"
240,6878,4,"cargo","top-hp","front-cargo","1","success",7645,"tele"
241,6878,4,"cargo","top-hp","front-cargo","1","success",9156,"tele"
242,6878,4,"cargo","top-hp","bot-rocket-low","1","attempted",8358,"tele"
243,746,4,"cargo","preload","top-cargo","1","success",2209,"sandstorm"
244,5024,5,"hatch","preload","top-cargo","1","success",18268,"sandstorm"
245,5024,5,"cargo","top-hp","dropped","0","dropped",16306,"tele"
246,5024,5,"cargo","top-hp","bot-cargo","1","success",11562,"tele"
247,5024,5,"cargo","top-hp","bot-cargo","1","success",8595,"tele"
248,919,5,"hatch","preload","dropped","0","dropped",13278,"sandstorm"
249,5719,5,"hatch","preload","top-cargo","1","success",24588,"sandstorm"
250,5719,5,"cargo","floor","top-cargo","1","success",5957,"tele"
251,5719,5,"cargo","floor","top-cargo","1","success",12370,"tele"
252,5719,5,"hatch","top-hp","top-rocket-low","1","attempted",19911,"tele"
253,5719,5,"hatch","top-hp","dropped","0","dropped",4895,"tele"
158,1285,1,"cargo","floor","top-cargo","1","success",7496,"tele"
157,1285,1,"cargo","floor","top-cargo","1","success",4965,"tele"
156,1285,1,"cargo","floor","bot-rocket-low","1","success",7673,"tele"
254,5719,5,"hatch","top-hp","dropped","0","dropped",8431,"tele"
255,7690,5,"cargo","preload","bot-cargo","1","success",8474,"sandstorm"
256,7690,5,"cargo","bot-hp","dropped","0","dropped",2714,"tele"
257,7690,5,"cargo","bot-hp","bot-cargo","1","success",7091,"tele"
258,7690,5,"cargo","bot-hp","bot-cargo","1","success",8415,"tele"
259,7690,5,"cargo","bot-hp","front-cargo","1","attempted",7392,"tele"
260,7690,5,"hatch","bot-hp","front-cargo","1","success",11618,"tele"
261,7690,5,"cargo","bot-hp","front-cargo","1","success",10977,"tele"
262,5031,5,"cargo","preload","bot-cargo","1","success",3242,"tele"
263,5031,5,"cargo","floor","top-cargo","1","success",44242,"tele"
264,5031,5,"cargo","floor","dropped","0","dropped",16178,"tele"
265,6866,6,"cargo","preload","dropped","0","dropped",8586,"sandstorm"
266,6866,6,"cargo","floor","dropped","0","dropped",5022,"tele"
267,6866,6,"cargo","floor","top-cargo","1","success",8208,"tele"
268,6866,6,"cargo","floor","top-cargo","1","success",1672,"tele"
269,6866,6,"cargo","floor","top-cargo","1","success",2397,"tele"
270,6866,6,"cargo","floor","dropped","0","dropped",7073,"tele"
271,1246,6,"cargo","preload","bot-cargo","1","success",13895,"tele"
272,1246,6,"cargo","floor","bot-cargo","1","success",9111,"tele"
273,1246,6,"cargo","floor","bot-cargo","1","attempted",15759,"tele"
274,1246,6,"cargo","floor","bot-cargo","1","success",32491,"tele"
275,7136,6,"cargo","preload","top-cargo","1","success",92120,"tele"
276,5911,6,"hatch","preload","front-cargo","1","success",86331,"tele"
277,1285,6,"hatch","preload","front-cargo","1","success",7758,"sandstorm"
278,1285,6,"cargo","bot-hp","bot-cargo","1","success",4683,"tele"
279,1285,6,"hatch","bot-hp","front-cargo","1","success",5275,"tele"
280,1285,6,"cargo","floor","top-cargo","1","success",4692,"tele"
281,1285,6,"cargo","floor","top-cargo","1","success",2968,"tele"
282,1285,6,"cargo","bot-hp","bot-cargo","1","success",5266,"tele"
283,7710,7,"hatch","preload","front-cargo","1","success",9494,"sandstorm"
284,7710,7,"hatch","bot-hp","dropped","0","dropped",1374,"tele"
285,6878,7,"cargo","preload","top-cargo","1","success",13248,"sandstorm"
286,6878,7,"cargo","bot-hp","top-cargo","1","success",17942,"tele"
287,188,7,"hatch","preload","top-rocket-low","1","success",1950,"tele"
288,188,7,"cargo","floor","top-cargo","1","success",2525,"tele"
289,188,7,"cargo","floor","top-cargo","1","success",1317,"tele"
290,188,7,"cargo","floor","top-cargo","1","success",13957,"tele"
291,188,7,"hatch","top-hp","front-cargo","1","success",10388,"tele"
292,188,7,"cargo","floor","front-cargo","1","success",11819,"tele"
293,188,7,"hatch","floor","dropped","0","dropped",20688,"tele"
294,1334,7,"hatch","bot-hp","dropped","0","dropped",47604,"tele"
295,5031,7,"cargo","preload","bot-cargo","1","attempted",4803,"tele"
296,5031,7,"cargo","floor","dropped","0","dropped",6918,"tele"
297,5031,7,"cargo","floor","bot-cargo","1","attempted",6484,"tele"
298,5031,7,"cargo","floor","bot-cargo","1","success",12417,"tele"
299,5031,7,"cargo","floor","bot-cargo","1","success",18913,"tele"
300,5031,7,"cargo","floor","bot-cargo","1","success",10720,"tele"
301,5076,8,"hatch","preload","front-cargo","1","success",16489,"sandstorm"
302,5076,8,"cargo","top-hp","front-cargo","1","success",1570,"tele"
303,5076,8,"hatch","top-hp","front-cargo","1","success",4844,"tele"
304,7690,8,"cargo","preload","bot-cargo","1","success",18057,"sandstorm"
305,7690,8,"hatch","bot-hp","bot-cargo","1","success",9597,"sandstorm"
306,7690,8,"hatch","bot-hp","bot-cargo","1","success",7842,"sandstorm"
307,7690,8,"cargo","bot-hp","front-cargo","1","success",7260,"sandstorm"
308,5036,8,"hatch","preload","front-cargo","1","success",3294,"sandstorm"
309,5036,8,"hatch","top-hp","front-cargo","1","success",14263,"tele"
310,5036,8,"cargo","top-hp","top-cargo","1","success",6470,"tele"
311,5036,8,"cargo","floor","dropped","0","dropped",5991,"tele"
312,5036,8,"cargo","floor","top-cargo","1","success",5224,"tele"
313,5036,8,"cargo","floor","top-cargo","1","success",6960,"tele"
314,5036,8,"hatch","top-hp","top-rocket-low","1","success",9923,"tele"
315,5036,8,"hatch","top-hp","top-rocket-low","1","attempted",8088,"tele"
316,7520,8,"cargo","floor","top-cargo","1","success",12266,"tele"
317,7520,8,"cargo","floor","top-cargo","1","success",10432,"tele"
318,7520,8,"hatch","floor","dropped","0","dropped",16517,"tele"
319,7520,8,"cargo","floor","dropped","0","dropped",4616,"tele"
320,7520,8,"cargo","floor","front-cargo","1","success",16833,"tele"
321,7476,8,"hatch","preload","bot-rocket-mid","2","success",29726,"tele"
322,7476,8,"hatch","bot-hp","bot-rocket-low","1","success",18517,"tele"
323,7476,8,"hatch","bot-hp","front-cargo","1","success",11278,"tele"
324,7476,8,"cargo","bot-hp","bot-cargo","1","success",9734,"tele"
325,4939,9,"cargo","preload","dropped","0","dropped",10701,"sandstorm"
326,5406,9,"hatch","preload","top-cargo","1","success",16754,"sandstorm"
327,5406,9,"cargo","floor","top-cargo","1","success",5726,"tele"
328,5406,9,"cargo","floor","top-cargo","1","success",5767,"tele"
329,5406,9,"hatch","top-hp","front-cargo","1","success",12336,"tele"
330,5406,9,"cargo","floor","front-cargo","1","success",2632,"tele"
331,5406,9,"cargo","floor","bot-cargo","1","success",5073,"tele"
332,5406,9,"cargo","top-hp","bot-cargo","1","success",3952,"tele"
333,5406,9,"cargo","top-hp","bot-cargo","1","success",4916,"tele"
334,5406,9,"hatch","top-hp","top-rocket-low","1","success",6927,"tele"
335,919,9,"cargo","bot-hp","dropped","0","dropped",16836,"tele"
336,919,9,"cargo","bot-hp","dropped","0","dropped",18345,"tele"
337,5024,9,"hatch","preload","bot-cargo","1","success",15408,"sandstorm"
338,5024,9,"cargo","bot-hp","bot-cargo","1","success",10379,"sandstorm"
339,5024,9,"cargo","bot-hp","bot-cargo","1","success",15403,"sandstorm"
340,5024,9,"hatch","bot-hp","top-cargo","1","success",8316,"sandstorm"
341,5024,9,"cargo","bot-hp","top-cargo","1","success",22508,"sandstorm"
342,7456,9,"hatch","preload","front-cargo","1","success",13439,"sandstorm"
343,6867,10,"hatch","preload","bot-cargo","1","success",15028,"sandstorm"
344,6867,10,"hatch","bot-hp","bot-cargo","1","success",15867,"tele"
345,6867,10,"hatch","bot-hp","front-cargo","1","success",15585,"tele"
346,6867,10,"hatch","bot-hp","bot-rocket-low","1","success",13070,"tele"
347,6867,10,"hatch","bot-hp","front-cargo","1","attempted",15497,"tele"
348,6867,10,"hatch","bot-hp","top-cargo","1","success",19772,"tele"
349,6867,10,"hatch","top-hp","dropped","0","dropped",22316,"tele"
350,5039,10,"hatch","preload","bot-rocket-mid","2","attempted",15887,"tele"
351,5039,10,"cargo","bot-hp","bot-cargo","1","success",3852,"tele"
352,5039,10,"cargo","bot-hp","bot-cargo","1","success",9414,"tele"
353,5039,10,"cargo","bot-hp","bot-cargo","1","attempted",11061,"tele"
354,5039,10,"cargo","bot-hp","bot-cargo","1","success",10233,"tele"
355,5039,10,"cargo","bot-hp","top-cargo","1","attempted",11683,"tele"
356,5039,10,"cargo","bot-hp","top-cargo","1","success",10728,"tele"
357,5039,10,"hatch","bot-hp","top-cargo","1","success",11679,"tele"
364,2706,10,"hatch","preload","dropped","0","dropped",10888,"sandstorm"
365,2706,10,"hatch","top-hp","dropped","0","dropped",15850,"tele"
366,2706,10,"hatch","top-hp","top-rocket-low","1","success",14964,"tele"
367,2706,10,"hatch","top-hp","top-rocket-low","1","success",17746,"tele"
368,2706,10,"hatch","top-hp","top-rocket-high","3","success",16708,"tele"
369,2706,10,"hatch","top-hp","top-rocket-mid","2","success",12699,"tele"
370,2706,10,"cargo","top-hp","dropped","0","dropped",3132,"tele"
371,6162,10,"hatch","preload","dropped","0","dropped",3137,"tele"
372,5406,11,"hatch","preload","bot-cargo","1","success",2802,"tele"
373,5406,11,"cargo","floor","bot-cargo","1","success",5207,"tele"
374,5406,11,"cargo","floor","top-cargo","1","success",10319,"tele"
375,5406,11,"hatch","bot-hp","front-cargo","1","success",9183,"tele"
376,5406,11,"cargo","floor","front-cargo","1","success",4827,"tele"
377,5406,11,"hatch","bot-hp","front-cargo","1","attempted",9941,"tele"
378,5406,11,"hatch","bot-hp","front-cargo","1","success",9882,"tele"
379,5406,11,"cargo","floor","front-cargo","1","success",2807,"tele"
380,5406,11,"hatch","bot-hp","bot-rocket-low","1","success",11994,"tele"
381,7690,11,"cargo","preload","top-cargo","1","success",16843,"sandstorm"
382,7690,11,"cargo","top-hp","top-cargo","1","attempted",8084,"tele"
383,7690,11,"cargo","top-hp","top-cargo","1","attempted",20123,"tele"
384,7476,11,"hatch","preload","top-rocket-mid","2","success",12234,"tele"
385,7476,11,"hatch","top-hp","top-rocket-mid","2","success",23946,"tele"
386,7476,11,"cargo","floor","top-rocket-mid","2","success",8483,"tele"
387,7476,11,"cargo","floor","top-cargo","1","attempted",11565,"tele"
388,7476,11,"cargo","floor","top-cargo","1","success",3315,"tele"
389,7476,11,"cargo","floor","top-cargo","1","success",8133,"tele"
390,7136,11,"cargo","preload","bot-cargo","1","success",12109,"sandstorm"
391,7136,11,"cargo","bot-hp","bot-cargo","1","attempted",13165,"tele"
392,7136,11,"cargo","top-hp","bot-cargo","1","success",21206,"tele"
393,7710,11,"hatch","preload","front-cargo","1","attempted",7492,"sandstorm"
394,7710,11,"hatch","bot-hp","dropped","0","dropped",2683,"tele"
395,7710,11,"hatch","bot-hp","dropped","0","dropped",1091,"tele"
401,7456,12,"hatch","preload","front-cargo","1","success",14888,"sandstorm"
402,919,12,"hatch","preload","front-cargo","1","attempted",4429,"tele"
403,5719,12,"hatch","preload","front-cargo","1","attempted",7043,"tele"
404,5719,12,"cargo","top-hp","top-cargo","1","success",13336,"tele"
405,5719,12,"cargo","bot-hp","bot-cargo","1","success",19054,"tele"
406,5719,12,"cargo","bot-hp","dropped","0","dropped",5247,"tele"
407,5719,12,"cargo","floor","bot-cargo","1","success",9137,"tele"
408,5039,12,"hatch","preload","front-cargo","1","success",6393,"tele"
409,5039,12,"cargo","top-hp","top-cargo","1","success",4930,"tele"
410,5039,12,"cargo","top-hp","dropped","0","dropped",3378,"tele"
411,5039,12,"cargo","top-hp","top-cargo","1","success",11107,"tele"
412,5039,12,"cargo","top-hp","dropped","0","dropped",17798,"tele"
413,5039,12,"cargo","top-hp","top-cargo","1","success",12458,"tele"
