"robot","match","level","success","time","phase","id"
6162,1,1,"none",NULL,"sandstorm",67
6162,1,1,"scored",NULL,"tele",68
1334,1,2,"none",NULL,"sandstorm",69
1285,1,2,"scored",NULL,"sandstorm",70
1285,1,1,"scored",NULL,"tele",71
5406,1,2,"scored",NULL,"sandstorm",74
5406,1,3,"scored",NULL,"tele",75
5076,1,2,"scored",NULL,"sandstorm",76
7456,2,0,"none",NULL,"sandstorm",77
7456,2,1,"scored",NULL,"tele",78
7710,2,2,"scored",NULL,"sandstorm",79
7710,2,1,"scored",NULL,"tele",80
5911,3,2,"none",NULL,"sandstorm",83
5911,3,1,"scored",NULL,"tele",84
7476,3,1,"scored",NULL,"sandstorm",85
7476,3,1,"scored",NULL,"tele",86
5039,3,1,"scored",NULL,"sandstorm",87
5039,3,1,"scored",NULL,"tele",88
6866,3,2,"scored",NULL,"sandstorm",89
7520,4,2,"none",NULL,"sandstorm",90
7520,4,1,"scored",NULL,"tele",91
7136,4,1,"scored",NULL,"sandstorm",92
6397,4,1,"scored",NULL,"sandstorm",93
6397,4,1,"scored",NULL,"tele",94
5036,1,1,"scored",NULL,"sandstorm",95
5036,1,1,"scored",NULL,"tele",96
4308,3,2,"scored",NULL,"sandstorm",97
4308,3,1,"scored",NULL,"tele",98
6867,4,2,"scored",NULL,"sandstorm",99
6867,4,2,"scored",NULL,"tele",100
6878,4,2,"scored",NULL,"sandstorm",102
746,4,2,"scored",NULL,"sandstorm",103
746,4,1,"scored",NULL,"tele",104
5024,5,2,"scored",NULL,"sandstorm",105
5024,5,1,"scored",NULL,"tele",106
919,5,1,"scored",NULL,"sandstorm",107
5719,5,2,"scored",NULL,"sandstorm",108
5719,5,2,"scored",NULL,"tele",109
7690,5,2,"scored",NULL,"sandstorm",110
4939,5,1,"scored",NULL,"sandstorm",111
4939,5,1,"scored",NULL,"tele",112
5031,5,2,"scored",NULL,"sandstorm",113
5031,5,1,"scored",NULL,"tele",114
6866,6,2,"scored",NULL,"sandstorm",115
6866,6,1,"scored",NULL,"tele",116
1246,6,1,"scored",NULL,"sandstorm",117
1246,6,1,"scored",NULL,"tele",118
7136,6,1,"scored",NULL,"sandstorm",119
6342,6,2,"scored",NULL,"sandstorm",120
6342,6,1,"scored",NULL,"tele",121
5911,6,2,"none",NULL,"sandstorm",122
5911,6,1,"scored",NULL,"tele",123
1285,6,2,"scored",NULL,"sandstorm",124
7710,7,1,"scored",NULL,"sandstorm",125
7710,7,1,"scored",NULL,"tele",126
6878,7,2,"scored",NULL,"sandstorm",127
6878,7,1,"scored",NULL,"tele",128
188,7,1,"scored",NULL,"sandstorm",129
188,7,3,"scored",NULL,"tele",130
1334,7,0,"scored",NULL,"sandstorm",131
1334,7,1,"scored",NULL,"tele",132
5031,7,2,"scored",NULL,"sandstorm",133
5031,7,1,"scored",NULL,"tele",134
746,7,2,"scored",NULL,"sandstorm",135
