"form_id","team_number","match_number","pressure","ground_pickup","tele_high","tele_low","gears_acquired","gears_scored","pref_lift","hang","hang_duration","hang_davit"
1,4917,1,0,False,0,0,1,0,"123",False,0.0,0
2,6378,1,0,False,0,0,1,1,"3",False,2.32,0
3,6110,1,0,False,0,0,2,3,"3",True,1.772,2
4,6336,1,0,False,0,0,2,2,"3",False,5.416,0
5,4946,1,3,True,0,0,4,4,"3",True,4.012,3
6,5885,1,0,False,0,0,5,5,"123",True,7.569,1
7,4525,2,0,False,0,0,5,5,"123",True,1.624,1
8,4939,2,0,False,0,0,3,3,"3",True,4.63,3
9,5406,2,11,True,9,0,4,3,"3",True,5.685,2
10,1114,2,12,False,18,0,3,4,"3",True,0.403,3
11,5596,2,0,False,0,0,1,2,"123",True,3.47,3
12,610,2,1,True,0,0,6,6,"123",True,2.021,1
13,1360,3,0,True,0,0,4,3,"123",True,2.051,2
14,6564,3,0,False,0,0,3,3,"123",True,4.113,3
15,4907,3,0,False,0,0,4,4,"123",True,6.787,3
16,6331,3,0,False,0,0,0,1,"123",False,0.0,0
17,772,3,0,False,0,0,4,3,"3",True,6.066,2
18,6342,3,0,False,0,0,2,2,"123",True,1.464,1
19,6461,4,0,False,0,0,0,0,"123",True,0.509,1
20,865,4,16,True,48,0,1,1,"123",True,2.682,3
21,5428,4,0,True,0,0,4,4,"3",True,6.54,3
22,2609,4,0,True,0,0,3,1,"3",True,2.011,3
23,2935,4,0,True,0,0,4,4,"3",True,5.336,3
24,6481,4,0,False,0,0,3,2,"123",False,0.0,0
25,5036,5,0,False,0,0,4,4,"123",True,0.613,1
26,1305,5,10,False,6,0,5,4,"3",True,2.242,2
27,1285,5,0,True,0,0,4,4,"3",False,0.0,0
28,4343,5,1,True,0,0,3,3,"3",True,6.459,3
29,5719,5,0,False,0,0,2,3,"3",True,6.682,3
30,5024,5,0,False,0,0,4,4,"123",True,2.311,1
31,6725,6,0,False,0,0,4,4,"123",True,0.821,1
32,4976,6,6,True,3,0,4,4,"3",True,0.712,2
33,4814,6,0,False,0,0,3,4,"3",False,0.0,0
34,6347,6,0,True,0,0,5,5,"3",False,0.0,0
35,6513,6,0,False,0,0,3,3,"123",True,3.852,2
36,4920,6,0,False,0,0,3,3,"123",False,6.059,0
37,854,7,0,False,0,0,3,2,"123",True,2.056,1
38,1075,7,7,False,0,0,1,1,"3",True,3.175,2
39,4476,7,0,False,0,0,2,2,"3",True,4.409,2
40,6009,7,0,False,0,0,5,4,"3",True,5.506,3
41,6323,7,0,True,0,0,4,4,"3",True,3.681,3
42,6387,7,0,False,0,0,4,4,"123",False,13.29,0
43,4152,8,0,False,0,0,3,2,"123",True,1.242,2
44,1241,8,1,False,0,0,4,4,"123",True,4.062,2
45,2200,8,0,True,0,0,5,4,"3",True,4.225,2
46,5076,8,0,False,0,0,3,3,"3",False,9.289,0
47,781,8,0,False,0,0,4,4,"3",True,5.707,1
48,3683,8,0,False,0,0,5,4,"123",True,1.82,2
49,2706,9,0,False,0,0,0,1,"123",True,0.965,2
50,4039,9,0,False,0,0,6,5,"123",True,5.914,2
51,5426,9,0,False,0,0,4,4,"3",True,4.584,3
52,1325,9,0,False,0,0,0,1,"123",False,0.0,0
53,2056,9,43,True,36,0,2,1,"123",True,2.026,3
54,6070,9,0,False,0,0,1,0,"123",True,5.682,1
55,4678,10,0,True,0,0,3,3,"123",True,3.133,2
56,5032,10,0,False,0,0,3,4,"123",True,4.951,2
57,2386,10,0,False,0,0,4,4,"3",True,7.143,3
58,6544,10,0,False,0,0,2,2,"3",True,1.508,3
59,4001,10,0,False,0,0,3,3,"123",False,2.055,0
60,188,10,3,False,0,0,5,5,"3",True,3.0,1
61,772,11,1,False,0,0,0,0,"123",True,8.096,1
62,4976,11,11,False,18,0,3,4,"3",False,3.413,0
63,5428,11,2,False,0,0,2,2,"3",True,4.142,3
64,610,11,3,True,9,0,4,3,"3",True,1.159,2
65,6378,11,0,False,0,0,2,3,"123",True,3.463,3
66,1285,11,0,True,0,0,5,4,"123",True,3.295,1
67,4907,12,0,False,0,0,3,3,"123",True,2.49,1
68,5719,12,0,False,0,0,2,3,"123",True,7.373,2
69,865,12,3,True,9,0,3,1,"123",True,1.375,3
70,6347,12,0,True,0,0,5,6,"3",True,5.34,2
71,854,12,0,False,0,0,2,3,"3",True,4.474,2
72,6110,12,0,False,0,0,1,0,"123",True,3.294,1
73,6725,13,0,False,0,0,3,4,"3",True,3.227,2
74,5024,13,0,False,0,0,4,3,"123",True,2.32,1
75,2200,13,1,True,0,0,4,4,"3",True,4.296,2
76,2935,13,0,False,0,0,1,0,"123",True,3.66,3
77,6461,13,0,False,0,0,2,3,"3",True,4.822,3
78,4917,13,0,False,0,0,3,2,"123",True,3.418,1
79,2609,14,0,True,0,0,4,4,"123",False,1.788,0
80,5596,14,0,False,0,0,3,3,"3",False,6.065,0
81,781,14,0,False,0,0,3,2,"3",True,2.217,1
82,6323,14,0,True,0,0,3,1,"3",True,2.511,3
83,5426,14,0,False,0,0,3,3,"123",True,6.142,3
84,4920,14,0,False,0,0,3,3,"3",False,5.967,0
85,2056,15,57,True,102,0,1,2,"3",True,3.427,2
86,5036,15,0,False,0,0,2,3,"123",True,1.722,1
87,4001,15,0,False,0,0,3,4,"123",False,0.0,0
88,1114,15,20,True,21,0,0,0,"123",False,0.0,0
89,6513,15,0,False,0,0,3,3,"3",True,2.901,1
90,1360,15,0,True,0,0,5,4,"123",False,0.0,0
91,5076,16,1,False,0,0,2,3,"3",True,9.162,1
92,6342,16,0,False,0,0,1,1,"123",False,0.0,0
93,1325,16,0,False,0,0,4,3,"3",True,3.737,3
94,2386,16,0,False,0,0,4,5,"3",False,9.392,0
95,4476,16,0,False,0,0,1,0,"123",False,0.0,0
96,1305,16,7,True,21,0,2,2,"123",True,2.176,1
97,5406,17,20,True,0,0,6,7,"3",True,2.877,1
98,6481,17,0,True,0,0,2,3,"123",True,3.11,2
99,6336,17,0,False,0,0,3,3,"3",True,4.389,3
100,5032,17,0,False,0,0,4,4,"3",True,2.287,3
101,6544,17,0,False,0,0,2,3,"3",True,3.816,3
